Year,Holiday,Snap_up,Food_Revenue,Hobbies_Revenue,Household_Revenue,Total_Revenue
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year4,TRUE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year1,FALSE,TRUE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year1,FALSE,TRUE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,TRUE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,TRUE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,TRUE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,TRUE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,TRUE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,TRUE,FALSE,16Kto24K,1Kto2K,3Kto6K,61Kto91.5K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year1,FALSE,FALSE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year1,FALSE,FALSE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,TRUE,FALSE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,6Kto9K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,TRUE,FALSE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,TRUE,FALSE,0Kto8K,missing,missing,0Kto30.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,TRUE,TRUE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,3Kto6K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,30.5Kto61K
Year4,TRUE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,FALSE,TRUE,24Kto32K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,TRUE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,30.5Kto61K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year4,TRUE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year4,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,61Kto91.5K
Year4,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,4Kto5k,9Kto12K,91.5Kto122K
Year5,FALSE,FALSE,32Kto40K,5Kto6K,12Kto15K,122Kto152.5K
Year5,TRUE,TRUE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,32Kto40K,4Kto5k,12Kto15K,122Kto152.5K
Year5,FALSE,TRUE,32Kto40K,3Kto4K,9Kto12K,152.5Kto183K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,TRUE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year1,FALSE,FALSE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year5,TRUE,FALSE,16Kto24K,3Kto4K,9Kto12K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,TRUE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,12Kto15K,122Kto152.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,TRUE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year1,FALSE,FALSE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,4Kto5k,9Kto12K,91.5Kto122K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,12Kto15K,122Kto152.5K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,TRUE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year1,FALSE,TRUE,24Kto32K,3Kto4K,3Kto6K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,61Kto91.5K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,9Kto12K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,9Kto12K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,32Kto40K,4Kto5k,12Kto15K,152.5Kto183K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,TRUE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,30.5Kto61K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,30.5Kto61K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,9Kto12K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,32Kto40K,4Kto5k,9Kto12K,122Kto152.5K
Year5,TRUE,TRUE,24Kto32K,3Kto4K,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,FALSE,8Kto16K,2Kto3K,3Kto6K,30.5Kto61K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,9Kto12K,91.5Kto122K
Year5,TRUE,TRUE,24Kto32K,4Kto5k,12Kto15K,122Kto152.5K
Year5,TRUE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year1,FALSE,TRUE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,2Kto3K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,4Kto5k,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,FALSE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year1,FALSE,TRUE,16Kto24K,3Kto4K,3Kto6K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,61Kto91.5K
Year5,FALSE,FALSE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,FALSE,TRUE,32Kto40K,4Kto5k,9Kto12K,152.5Kto183K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
Year5,TRUE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year1,FALSE,TRUE,16Kto24K,2Kto3K,3Kto6K,61Kto91.5K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,4Kto5k,9Kto12K,122Kto152.5K
Year5,TRUE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,16Kto24K,3Kto4K,6Kto9K,91.5Kto122K
Year5,FALSE,TRUE,24Kto32K,3Kto4K,9Kto12K,91.5Kto122K
